# Time-averaged data for fix myat1
# TimeStep v_delta_r
90700 13.0719
90800 12.9328
90900 13.1987
91000 13.5249
91100 14.026
91200 14.2513
91300 14.4279
91400 14.8459
91500 14.8272
91600 14.6907
91700 14.6501
91800 14.7965
91900 14.7224
92000 14.5801
92100 14.3404
92200 13.9676
92300 13.7176
92400 13.7593
92500 13.7705
92600 14.1057
92700 14.656
92800 15.3704
92900 16.022
93000 16.2451
93100 16.2035
93200 15.8415
93300 15.0761
93400 14.6369
93500 14.631
93600 14.1657
93700 13.8537
93800 13.7408
93900 13.5582
94000 13.2345
94100 13.0564
94200 12.7652
94300 12.4691
94400 12.2139
94500 11.8797
94600 11.6033
94700 11.5457
94800 11.664
94900 12.0411
95000 12.0625
95100 11.64
95200 10.9483
95300 10.2351
95400 9.644
95500 9.24598
95600 8.83747
95700 8.49245
95800 8.14754
95900 7.83399
96000 8.05059
96100 8.39937
96200 9.11309
96300 10.1371
96400 10.5981
96500 10.7369
96600 10.9699
96700 11.145
96800 11.2915
96900 11.4368
97000 11.6084
97100 12.0094
97200 12.0637
97300 11.986
97400 11.7268
97500 11.4352
97600 10.869
97700 10.4994
97800 10.2938
97900 10.0714
98000 9.95481
98100 9.85687
98200 9.84428
98300 9.82795
98400 10.0771
98500 10.3246
98600 10.9061
98700 11.3319
98800 11.3663
98900 11.6505
99000 11.8398
99100 12.2277
99200 12.8782
99300 13.3481
99400 13.6074
99500 13.6561
99600 13.6528
99700 13.4699
99800 13.3631
99900 13.1781
100000 13.1524
