# Time-averaged data for fix myat1
# TimeStep v_n_center1 v_n_center2
1267000 0 60
1268000 0 60
1269000 0 60
1270000 0 60
1271000 0 60
1272000 0 60
1273000 0 60
1274000 0 60
1275000 0 60
1276000 0 60
1277000 0 60
1278000 0 60
1279000 0 60
1280000 0 60
1281000 0 60
1282000 0 60
1283000 0 60
1284000 0 60
1285000 0 60
1286000 0 60
1287000 0 60
1288000 0 60
1289000 0 60
1290000 0 60
1291000 0 60
1292000 0 60
1293000 0 60
1294000 0 60
1295000 0 60
1296000 0 60
1297000 0 60
1298000 0 60
1299000 0 60
1300000 0 60
1301000 0 60
1302000 0 60
1303000 0 60
1304000 0 60
1305000 0 60
1306000 0 60
1307000 0 60
1308000 0 60
1309000 0 60
1310000 0 60
1311000 0 60
1312000 0 60
1313000 0 60
1314000 0 60
1315000 0 60
1316000 0 60
1317000 0 60
1318000 0 60
1319000 0 60
1320000 0 60
1321000 0 60
1322000 0 60
1323000 0 60
1324000 0 60
1325000 0 60
1326000 0 60
1327000 0 60
1328000 0 60
1329000 0 60
1330000 0 60
1331000 0 60
1332000 0 60
1333000 0 60
1334000 0 60
1335000 0 60
1336000 0 60
1337000 0 60
1338000 0 60
1339000 0 60
1340000 0 60
1341000 0 60
1342000 0 60
1343000 0 60
1344000 0 60
1345000 0 60
1346000 0 60
1347000 0 60
1348000 0 60
1349000 0 60
1350000 0 60
1351000 0 60
1352000 0 60
1353000 0 60
1354000 0 60
1355000 0 60
1356000 0 60
1357000 0 60
1358000 0 60
1359000 0 60
1360000 0 60
1361000 0 60
1362000 0 60
1363000 0 60
1364000 0 60
1365000 0 60
1366000 0 60
1367000 0 60
1368000 0 60
1369000 0 60
1370000 0 60
1371000 0 60
1372000 0 60
1373000 0 60
1374000 0 60
1375000 0 60
1376000 0 60
1377000 0 60
1378000 0 60
1379000 0 60
1380000 0 60
1381000 0 60
1382000 0 60
1383000 0 60
1384000 0.04 60
1385000 0 60
1386000 0 60
1387000 0 60
1388000 0 60
1389000 0 60
1390000 0 60
1391000 0 60
1392000 0 60
1393000 0 60
1394000 0 60
1395000 0 60
1396000 0 60
1397000 0 60
1398000 0 60
1399000 0 60
1400000 0 60
1401000 0 60
1402000 0 60
1403000 0 60
1404000 0 60
1405000 0 60
1406000 0 60
1407000 0 60
1408000 0 60
1409000 0 60
1410000 0 60
1411000 0 60
1412000 0 60
1413000 0 60
1414000 0 60
1415000 0 60
1416000 0 60
1417000 0 60
1418000 0 60
1419000 0 60
1420000 0 60
1421000 0 60
1422000 0 60
1423000 0 60
1424000 0 60
1425000 0 60
1426000 0 60
1427000 0 60
1428000 0 60
1429000 0 60
1430000 0 60
1431000 0 60
1432000 0 60
1433000 0 60
1434000 0 60
1435000 0 60
1436000 0 59.98
1437000 0.07 60
1438000 0 60
1439000 0 60
1440000 0 60
1441000 0 60
1442000 0 60
1443000 0 60
1444000 0 60
1445000 0 60
1446000 0 60
1447000 0 60
1448000 0 60
1449000 0 60
1450000 0 60
1451000 0 60
1452000 0 60
1453000 0 60
1454000 0 60
1455000 0 60
1456000 0 60
1457000 0 60
1458000 0 60
1459000 0 60
1460000 0 60
1461000 0 60
1462000 0 60
1463000 0 60
1464000 0 60
1465000 0 60
1466000 0 60
1467000 0 60
1468000 0 60
1469000 0 60
1470000 0 60
1471000 0 60
1472000 0 60
1473000 0 60
1474000 0 60
1475000 0 60
1476000 0 60
1477000 0 60
1478000 0 59.98
1479000 0 60
1480000 0 60
1481000 0 60
1482000 0 60
1483000 0 60
1484000 0 60
1485000 0 60
1486000 0 60
1487000 0 60
1488000 0 60
1489000 0 60
1490000 0 60
1491000 0 60
1492000 0 60
1493000 0 60
1494000 0 60
1495000 0 60
1496000 0 60
1497000 0 60
1498000 0 60
1499000 0 60
1500000 0 60
1501000 0 60
1502000 0 60
1503000 0 60
1504000 0 60
1505000 0 60
1506000 0 60
1507000 0 60
1508000 0 60
1509000 0 60
1510000 0 60
1511000 0 60
1512000 0 60
1513000 0 60
1514000 0 60
1515000 0 60
1516000 0 60
1517000 0 60
1518000 0 60
1519000 0 60
1520000 0.05 60
1521000 0 60
1522000 0 60
1523000 0 60
1524000 0 60
1525000 0 60
1526000 0 60
1527000 0 60
1528000 0 60
1529000 0 60
1530000 0 60
1531000 0 60
1532000 0 60
1533000 0 60
1534000 0 60
1535000 0 60
1536000 0 60
1537000 0 60
1538000 0 60
1539000 0 60
1540000 0 60
1541000 0 60
1542000 0 60
1543000 0 60
1544000 0 60
1545000 0 60
1546000 0 60
1547000 0 60
1548000 0 60
1549000 0 60
1550000 0 60
1551000 0 60
1552000 0 60
1553000 0 60
1554000 0 60
1555000 0 60
1556000 0 60
1557000 0 60
1558000 0 60
1559000 0 60
1560000 0 60
1561000 0 60
1562000 0 60
1563000 0 60
1564000 0 60
1565000 0 60
1566000 0 60
1567000 0 60
1568000 0 60
1569000 0 60
1570000 0 60
1571000 0 60
1572000 0 60
1573000 0 60
1574000 0 60
1575000 0 60
1576000 0 60
1577000 0 60
1578000 0 60
1579000 0 60
1580000 0 60
1581000 0 59.99
1582000 0 60
1583000 0 60
1584000 0 60
1585000 0 60
1586000 0 60
1587000 0 60
1588000 0 60
1589000 0 60
1590000 0 60
1591000 0 60
1592000 0 60
1593000 0 60
1594000 0 60
1595000 0 60
1596000 0 60
1597000 0 60
1598000 0 60
1599000 0 60
1600000 0 60
1601000 0 60
1602000 0 60
1603000 0 60
1604000 0 60
1605000 0 60
1606000 0 60
1607000 0 60
1608000 0 60
1609000 0 60
1610000 0 60
1611000 0 60
1612000 0 60
1613000 0 60
1614000 0 60
1615000 0 60
1616000 0 60
1617000 0 60
1618000 0 60
1619000 0 60
1620000 0 60
1621000 0 60
1622000 0 60
1623000 0 60
1624000 0 60
1625000 0 60
1626000 0 60
1627000 0 60
1628000 0 60
1629000 0 60
1630000 0 60
1631000 0 60
1632000 0 60
1633000 0 60
1634000 0 60
1635000 0 60
1636000 0 60
1637000 0 60
1638000 0 60
1639000 0 60
1640000 0 60
1641000 0 60
1642000 0 60
1643000 0 60
1644000 0 60
1645000 0 60
1646000 0 60
1647000 0 60
1648000 0 60
1649000 0.01 60
1650000 0 60
1651000 0 60
1652000 0 60
1653000 0 60
1654000 0 60
1655000 0 60
1656000 0 60
1657000 0 60
1658000 0 60
1659000 0 60
1660000 0 60
1661000 0 60
1662000 0 60
1663000 0 60
1664000 0 60
1665000 0 60
1666000 0 60
1667000 0 60
1668000 0 60
1669000 0 60
1670000 0 60
1671000 0 60
1672000 0 60
1673000 0 60
1674000 0 60
1675000 0 60
1676000 0 60
1677000 0 60
1678000 0 60
1679000 0 60
1680000 0 60
1681000 0 59.99
1682000 0 60
1683000 0 60
1684000 0 60
1685000 0 59.99
1686000 0 60
1687000 0 60
1688000 0 60
1689000 0 60
1690000 0 60
1691000 0 60
1692000 0 60
1693000 0 60
1694000 0 60
1695000 0 60
1696000 0 60
1697000 0 60
1698000 0 60
1699000 0 60
1700000 0 60
1701000 0 60
1702000 0 60
1703000 0 60
1704000 0 60
1705000 0 60
1706000 0 60
1707000 0 60
1708000 0 60
1709000 0 60
1710000 0 60
1711000 0 60
1712000 0 60
1713000 0 60
1714000 0 60
1715000 0 60
1716000 0 60
1717000 0 60
1718000 0 60
1719000 0 60
1720000 0 60
1721000 0 60
1722000 0 60
1723000 0 60
1724000 0 60
1725000 0 60
1726000 0 60
1727000 0 60
1728000 0 60
1729000 0 60
1730000 0 60
1731000 0 60
1732000 0 60
1733000 0 60
1734000 0 60
1735000 0 60
1736000 0 60
1737000 0 60
1738000 0 60
1739000 0 60
1740000 0 60
1741000 0 60
1742000 0 60
1743000 0 60
1744000 0 60
1745000 0 60
1746000 0 60
1747000 0 60
1748000 0 60
1749000 0 60
1750000 0 60
1751000 0 60
1752000 0 60
1753000 0 60
1754000 0 60
1755000 0 60
1756000 0 60
1757000 0 60
1758000 0 60
1759000 0 60
1760000 0 60
1761000 0 60
1762000 0 60
1763000 0 60
1764000 0 60
1765000 0 60
1766000 0 59.98
1767000 0 60
1768000 0 60
1769000 0 60
1770000 0 60
1771000 0 60
1772000 0 60
1773000 0 60
1774000 0 60
1775000 0 60
1776000 0 60
1777000 0 60
1778000 0 60
1779000 0 60
1780000 0 60
1781000 0 60
1782000 0 60
1783000 0 59.99
1784000 0 60
1785000 0 60
1786000 0 60
1787000 0 60
1788000 0 60
1789000 0 60
1790000 0 60
1791000 0 60
1792000 0 60
1793000 0 60
1794000 0 60
1795000 0 60
1796000 0 60
1797000 0 60
1798000 0 60
1799000 0 60
1800000 0 60
1801000 0 60
1802000 0 60
1803000 0 60
1804000 0 60
1805000 0 60
1806000 0 60
1807000 0 60
1808000 0 60
1809000 0 60
1810000 0 60
1811000 0 60
1812000 0 60
1813000 0 60
1814000 0 60
1815000 0 60
1816000 0 60
1817000 0 60
1818000 0 60
1819000 0 60
1820000 0 60
1821000 0 60
1822000 0 60
1823000 0 60
1824000 0 60
1825000 0 60
1826000 0 60
1827000 0 60
1828000 0 60
1829000 0 60
1830000 0 60
1831000 0 60
