# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 50 60.00000000000001
  12 -13.5 1.794 0.003588
  13 -12.5 0.933 0.001866
  14 -11.5 0.53 0.00106
  15 -10.5 0.471 0.000942
  16 -9.5 0.712 0.001424
  17 -8.5 1.206 0.002412
  18 -7.5 2.34 0.00468
  19 -6.5 2.2 0.0044
  20 -5.5 0.556 0.001112
  21 -4.5 0.045 9e-05
  22 -3.5 0 0
  23 -2.5 0 0
  24 -1.5 0 0
  25 -0.5 0.01 2e-05
  26 0.5 0.077 0.000154
  27 1.5 0.374 0.000748
  28 2.5 0.52 0.00104
  29 3.5 0.019 3.8e-05
  30 4.5 0.06 0.00012
  31 5.5 1.062 0.002124
  32 6.5 1.344 0.002688
  33 7.5 0.846 0.001692
  34 8.5 1.354 0.002708
  35 9.5 1.827 0.003654
  36 10.5 1.16 0.00232
  37 11.5 1.38 0.00276
  38 12.5 1.539 0.003078
  39 13.5 1.92 0.00384
  40 14.5 2.279 0.004558
  41 15.5 2.295 0.00459
  42 16.5 0.948 0.001896
  43 17.5 1.156 0.002312
  44 18.5 1.218 0.002436
  45 19.5 1.649 0.003298
  46 20.5 2.05 0.0041
  47 21.5 1.037 0.002074
  48 22.5 1.753 0.003506
  49 23.5 1.775 0.00355
  50 24.5 1.901 0.003802
