# Time-averaged data for fix myat1
# TimeStep v_velx
101800 -0.00120246
101900 -0.00131702
102000 0.00627559
102100 0.00691305
102200 0.00400498
102300 0.0111176
102400 0.00922014
102500 0.0117189
102600 0.00049296
102700 0.0028757
102800 0.00681395
102900 -0.000165444
103000 0.00335412
103100 0.00891577
103200 0.00149087
103300 -0.00421525
103400 0.0060795
103500 0.00372915
103600 0.00478913
103700 0.00667274
103800 0.0014801
103900 0.00449986
104000 0.0012991
104100 0.0103158
104200 0.000869976
104300 0.00020034
104400 0.00224581
104500 0.0057153
104600 0.00663001
104700 0.0106736
104800 0.0096992
104900 0.00440494
105000 0.00956305
105100 0.00772826
105200 7.04205e-05
105300 0.00666714
105400 -0.00071431
105500 -0.000212662
105600 0.00811187
105700 0.0103377
105800 0.00906282
105900 0.00320871
106000 0.00463895
106100 0.00213142
106200 0.00961413
106300 0.00424322
106400 0.0049914
106500 0.00684265
106600 -0.00202668
106700 -0.00196608
106800 0.00825974
106900 0.0076257
107000 0.00534669
107100 0.00591899
107200 0.00628432
107300 0.00663231
107400 0.00719647
107500 0.00108495
107600 0.00744025
107700 0.00525877
107800 0.00827576
107900 0.00665494
108000 0.00892821
108100 0.00572107
108200 0.002404
108300 0.000529628
108400 0.00450896
108500 0.0116888
108600 0.00518667
108700 0.00951974
108800 0.00808408
108900 0.00708658
109000 0.00132855
109100 0.00309922
109200 0.00634844
109300 0.00106344
109400 0.00570568
109500 0.00317519
109600 0.00469657
109700 0.00797951
109800 0.00895481
109900 0.00925292
110000 0.00279052
110100 -0.000528401
110200 0.00195549
110300 0.00314423
110400 0.00731662
110500 0.00727051
110600 0.00442889
110700 0.00547044
110800 -0.000299069
110900 0.00463984
111000 0.00521008
111100 0.00584817
111200 0.00532426
111300 -0.00177875
111400 0.00460032
111500 0.00683594
111600 0.0044001
111700 0.0102447
111800 0.000271432
111900 -0.000818714
112000 0.00753843
112100 0.00623996
112200 -0.00203919
112300 0.00243985
112400 0.00213362
112500 0.00822906
112600 0.00110327
112700 0.00282513
112800 0.010203
112900 0.00635396
113000 0.00219925
113100 0.00686394
113200 0.00875186
113300 0.00975776
113400 0.00258293
113500 0.00115468
113600 0.00328785
113700 0.00276649
113800 0.00475464
113900 0.00175384
114000 0.0057921
114100 -0.00203021
114200 0.00159351
114300 0.000641476
114400 0.00786348
114500 0.00469922
114600 0.00163613
114700 0.00209928
114800 0.00163788
114900 0.00188684
115000 0.00819783
115100 0.00447195
115200 0.00684826
115300 0.00200846
115400 0.0105447
115500 0.00626851
115600 0.0029788
115700 0.00151787
115800 0.00132151
115900 0.000907143
116000 -0.000102375
116100 0.00580711
116200 0.000724019
116300 0.00040192
116400 -0.00212868
116500 0.0102705
116600 0.00283257
116700 0.00433035
116800 0.00135678
116900 0.00629223
117000 0.00725372
117100 0.00994094
117200 0.00680072
117300 0.0014354
117400 0.00884594
117500 0.00781517
117600 0.00132734
117700 0.000716322
117800 0.00753257
117900 0.00808601
118000 0.0065086
118100 0.00331948
118200 2.49714e-05
118300 0.00472567
118400 0.0103887
118500 0.00319228
118600 0.0079766
118700 0.00282369
118800 0.000359641
118900 0.00613588
119000 0.00754577
119100 0.00511228
119200 0.00816025
119300 0.0055247
119400 0.00446117
119500 0.000107814
119600 0.0081983
119700 0.00515371
119800 0.00312632
119900 0.00100141
120000 0.00868036
120100 0.00839916
120200 0.00399901
120300 0.00702528
120400 0.000232581
120500 -0.00626572
120600 0.00191586
120700 0.00429806
120800 0.00539471
120900 0.00286728
121000 0.00243326
121100 0.000655614
121200 0.00257807
121300 0.0082195
121400 0.0128149
121500 -0.000691736
121600 0.0071619
121700 -0.00036903
121800 -0.000531037
121900 -0.00134928
122000 0.00857916
122100 0.00570973
122200 0.00798062
122300 -0.00124459
122400 0.012992
122500 0.00423618
122600 -0.00246585
122700 0.0120942
122800 0.000843257
122900 0.00588407
123000 0.00514371
123100 0.00413798
123200 0.000679026
123300 0.00383182
123400 0.00246434
123500 -0.00151031
123600 0.00601438
123700 0.00687811
123800 0.00783717
123900 0.00253355
124000 0.00656026
124100 0.0119324
124200 0.0109884
124300 0.00482436
124400 -0.00119241
124500 0.0057133
124600 0.00530223
124700 0.00735945
124800 0.00634497
124900 0.00360232
125000 0.00784228
125100 0.00177428
125200 0.00465675
125300 0.00781006
125400 -0.00134815
125500 0.00444033
125600 0.00910968
125700 0.00401649
125800 0.00919277
125900 0.00391965
126000 0.0116434
126100 0.00636998
126200 0.00740394
126300 0.00777414
126400 -0.00239846
126500 0.00525901
126600 0.00547899
126700 0.00122897
126800 0.00807838
126900 0.0011815
127000 0.00701329
127100 0.00698294
127200 0.00642736
127300 0.0015113
127400 0.00463586
127500 0.00238624
127600 0.0096236
127700 0.00213716
127800 0.00509434
127900 0.00407231
128000 0.00349088
128100 0.00362892
128200 0.0098279
128300 0.00869612
128400 0.00281845
128500 0.00536142
128600 0.00563686
128700 0.00350114
128800 0.00547064
128900 0.00638605
129000 0.00131151
129100 0.00480622
129200 -0.00128156
129300 0.0100048
129400 0.0084126
129500 0.00515591
129600 0.0036506
129700 0.000311743
129800 -0.000484992
129900 0.005049
